Time,Open,High,Low,Close,Change,Volume
11/04/19,3078.96,3085.2,3074.87,3078.27,11.36,0
11/01/19,3050.72,3066.95,3050.72,3066.91,29.35,0
10/31/19,3046.9,3046.9,3023.19,3037.56,-9.21,0
10/30/19,3039.74,3050.1,3028.39,3046.77,9.8800000000001,0
10/29/19,3035.39,3047.87,3034.81,3036.89,-2.5300000000002,0
10/28/19,3032.12,3044.08,3032.12,3039.42,16.87,0
10/25/19,3003.32,3027.39,3001.94,3022.55,12.26,0
10/24/19,3014.78,3016.07,3000.42,3010.29,5.77,0
10/23/19,2994.01,3004.78,2991.21,3004.52,8.5300000000002,0
10/22/19,3010.73,3014.57,2995.54,2995.99,-10.73,0
10/21/19,2996.48,3007.33,2995.35,3006.72,20.52,0
10/18/19,2996.84,3000,2976.31,2986.2,-11.75,0
10/17/19,3000.77,3008.29,2991.79,2997.95,8.2599999999998,0
10/16/19,2989.68,2997.54,2985.2,2989.69,-5.9899999999998,0
10/15/19,2973.61,3003.28,2973.61,2995.68,29.53,0
10/14/19,2965.81,2972.84,2962.94,2966.15,-4.1199999999999,0
10/11/19,2963.07,2993.28,2963.07,2970.27,32.14,0
10/10/19,2918.55,2948.46,2917.12,2938.13,18.73,0
10/09/19,2911.1,2929.32,2907.41,2919.4,26.34,0
10/08/19,2920.4,2925.47,2892.71,2893.06,-45.73,0
10/07/19,2944.23,2959.75,2935.68,2938.79,-13.22,0
10/04/19,2918.56,2953.74,2918.56,2952.01,41.38,0
10/03/19,2885.38,2911.13,2855.96,2910.63,23.02,0
10/02/19,2924.78,2924.78,2874.93,2887.61,-52.64,0
10/01/19,2983.69,2992.53,2938.7,2940.25,-36.49,0
09/30/19,2967.07,2983.85,2967.07,2976.74,14.95,0
09/27/19,2985.47,2987.31,2945.53,2961.79,-15.83,0
09/26/19,2985.73,2987.28,2963.71,2977.62,-7.25,0
09/25/19,2968.35,2989.82,2952.86,2984.87,18.27,0
09/24/19,3002.43,3007.98,2957.73,2966.6,-25.18,0
09/23/19,2983.5,2999.15,2982.23,2991.78,-0.28999999999996,0
09/20/19,3008.42,3016.37,2984.68,2992.07,-14.72,0
09/19/19,3010.36,3021.99,3003.16,3006.79,0.059999999999945,0
09/18/19,3001.5,3007.83,2978.57,3006.73,1.0300000000002,0
09/17/19,2995.67,3006.21,2993.73,3005.7,7.7399999999998,0
09/16/19,2996.41,3002.19,2990.67,2997.96,-9.4299999999998,0
09/13/19,3012.21,3017.33,3002.9,3007.39,-2.1800000000003,0
09/12/19,3009.08,3020.74,3000.92,3009.57,8.6400000000003,0
09/11/19,2981.41,3000.93,2975.31,3000.93,21.54,0
09/10/19,2971.01,2979.39,2957.01,2979.39,0.96000000000004,0
09/09/19,2988.43,2989.43,2969.39,2978.43,-0.2800000000002,0
09/06/19,2980.33,2985.03,2972.51,2978.71,2.71,0
09/05/19,2960.6,2985.86,2960.6,2976,38.22,0
09/04/19,2924.67,2938.84,2921.86,2937.78,31.51,0
09/03/19,2909.01,2914.39,2891.85,2906.27,-20.19,0
08/30/19,2937.09,2940.43,2913.32,2926.46,1.8800000000001,0
08/29/19,2910.37,2930.5,2905.67,2924.58,36.64,0
08/28/19,2861.28,2890.03,2853.05,2887.94,18.78,0
08/27/19,2893.14,2898.79,2860.59,2869.16,-9.2200000000003,0
08/26/19,2866.7,2879.27,2856,2878.38,31.27,0
08/23/19,2911.07,2927.01,2834.97,2847.11,-75.84,0
08/22/19,2930.94,2939.08,2904.51,2922.95,-1.48,0
08/21/19,2922.04,2928.73,2917.91,2924.43,23.92,0
08/20/19,2919.01,2923.63,2899.6,2900.51,-23.14,0
08/19/19,2913.48,2931,2913.48,2923.65,34.97,0
08/16/19,2864.74,2893.63,2864.74,2888.68,41.08,0
08/15/19,2846.2,2856.67,2825.51,2847.6,7,0
08/14/19,2894.15,2894.15,2839.64,2840.6,-85.72,0
08/13/19,2880.72,2943.31,2877.05,2926.32,43.23,0
08/12/19,2907.07,2907.58,2873.14,2883.09,-35.56,0
08/09/19,2930.51,2935.75,2900.15,2918.65,-19.44,0
08/08/19,2896.21,2938.72,2894.58,2938.09,54.11,0
08/07/19,2858.65,2892.17,2825.71,2883.98,2.21,0
08/06/19,2861.18,2884.4,2847.42,2881.77,37.03,0
08/05/19,2898.07,2898.07,2822.12,2844.74,-87.31,0
08/02/19,2943.9,2945.5,2914.11,2932.05,-21.51,0
08/01/19,2980.32,3013.59,2945.23,2953.56,-26.82,0
07/31/19,3016.22,3017.4,2958.08,2980.38,-32.8,0
07/30/19,3007.66,3017.19,3000.94,3013.18,-7.79,0
07/29/19,3024.47,3025.61,3014.3,3020.97,-4.8900000000003,0
07/26/19,3013.25,3027.98,3012.79,3025.86,22.19,0
07/25/19,3016.26,3016.31,2997.24,3003.67,-15.89,0
07/24/19,2998.77,3019.59,2996.82,3019.56,14.09,0
07/23/19,2994.74,3005.9,2988.56,3005.47,20.44,0
07/22/19,2981.93,2990.71,2976.65,2985.03,8.4200000000001,0
07/19/19,3004.26,3006.02,2975.86,2976.61,-18.5,0
07/18/19,2978.87,2998.28,2973.09,2995.11,10.69,0
07/17/19,3005.1,3005.26,2984.25,2984.42,-19.62,0
07/16/19,3012.13,3015.02,3001.15,3004.04,-10.26,0
07/15/19,3017.8,3017.8,3008.77,3014.3,0.5300000000002,0
07/12/19,3003.36,3013.92,3001.87,3013.77,13.86,0
07/11/19,2999.62,3002.33,2988.8,2999.91,6.8399999999997,0
07/10/19,2989.3,3002.98,2984.62,2993.07,13.44,0
07/09/19,2965.52,2981.9,2963.44,2979.63,3.6800000000003,0
07/08/19,2979.77,2980.76,2970.09,2975.95,-14.46,0
07/05/19,2984.25,2994.03,2967.97,2990.41,-5.4100000000003,0
07/03/19,2978.08,2995.84,2977.96,2995.82,22.81,0
07/02/19,2964.66,2973.21,2955.92,2973.01,8.6800000000003,0
07/01/19,2971.41,2977.93,2952.22,2964.33,22.57,0
06/28/19,2932.94,2943.98,2929.05,2941.76,16.84,0
06/27/19,2919.66,2929.3,2918.57,2924.92,11.14,0
06/26/19,2926.07,2932.59,2912.99,2913.78,-3.5999999999999,0
06/25/19,2945.78,2946.52,2916.01,2917.38,-27.97,0
06/24/19,2951.42,2954.92,2944.05,2945.35,-5.1100000000001,0
06/21/19,2952.71,2964.15,2946.87,2950.46,-3.7199999999998,0
06/20/19,2949.6,2958.06,2931.5,2954.18,27.72,0
06/19/19,2920.55,2931.74,2911.43,2926.46,8.71,0
06/18/19,2906.71,2930.79,2905.44,2917.75,28.08,0
06/17/19,2889.75,2897.27,2887.3,2889.67,2.6900000000001,0
06/14/19,2886.82,2894.45,2879.62,2886.98,-4.6599999999999,0
06/13/19,2886.24,2895.24,2881.99,2891.64,11.8,0
06/12/19,2882.73,2888.57,2874.68,2879.84,-5.8799999999997,0
06/11/19,2903.27,2910.61,2878.53,2885.72,-1.0100000000002,0
06/10/19,2885.83,2904.77,2885.51,2886.73,13.39,0
06/07/19,2852.87,2884.97,2852.87,2873.34,29.85,0
06/06/19,2828.51,2852.1,2822.45,2843.49,17.34,0
06/05/19,2818.09,2827.28,2800.92,2826.15,22.88,0
06/04/19,2762.64,2804.49,2762.64,2803.27,58.82,0
06/03/19,2751.53,2763.07,2728.81,2744.45,-7.6100000000001,0
05/31/19,2766.15,2768.98,2750.52,2752.06,-36.8,0
05/30/19,2786.94,2799,2776.74,2788.86,5.8400000000001,0
